name,year,value,lastvalue,rank
Australia,1963,100.9469,94.835297,17
Australia,1996,299.84781,289.5029,15
Australia,1950,54.743801,54.743801,15
Australia,1955,70.682198,67.846298,17
Australia,1988,245.2677,234.91389,15
Australia,1958,77.618202,74.525803,17
Australia,1998,326.96951,307.4111,13
Australia,2008,393.93839,391.2298,13
Australia,2006,381.10141,376.47571,14
Australia,2002,350.73441,346.09879,14
Australia,1976,184.9408,182.52879,16
Australia,2010,392.2326,400.1651,16
Australia,2012,391.2778,393.32932,16
Australia,1970,147.5016,142.1412,16
Australia,1985,223.93491,211.70239,16
Australia,1987,234.91389,225.0632,16
Australia,2005,376.47571,372.53101,14
Austria,1958,28.0956,29.187401,28
Austria,1975,52.976601,54.456001,35
Austria,1953,21.7202,22.0756,29
Austria,1964,38.908001,36.962399,30
Austria,1974,54.456001,57.108101,34
Austria,1991,63.028801,58.850201,42
Austria,1994,58.537201,58.422199,47
Austria,1981,55.464401,58.3787,38
Austria,1956,28.209101,29.077499,28
Austria,2002,69.312897,67.724297,42
Austria,1980,58.3787,60.0056,38
Austria,1957,29.187401,28.209101,28
Austria,1950,20.8995,20.8995,26
Austria,1960,30.7959,27.919701,28
Austria,1973,57.108101,53.672001,34
Austria,1954,24.512199,21.7202,29
Austria,1997,64.319901,65.040901,43
Austria,1962,33.873699,31.8365,29
Austria,1955,29.077499,24.512199,28
Austria,2003,74.494598,69.312897,41
Austria,1965,38.156898,38.908001,31
Austria,1967,39.933899,39.223099,31
Austria,1993,58.422199,58.1362,45
Austria,1951,23.266399,20.8995,24
Austria,1990,58.850201,54.856899,44
Austria,2009,66.275597,73.485397,46
Austria,1966,39.223099,38.156898,31
Austria,1978,57.461201,54.606602,35
Austria,1987,56.463402,55.455299,43
Austria,1959,27.919701,28.0956,29
Austria,1988,54.4743,56.463402,48
Austria,1979,60.0056,57.461201,37
Austria,2011,69.885696,71.5215,46
Austria,1985,56.551701,55.300201,42
Austria,1998,64.809898,64.319901,42
Austria,1999,63.2416,64.809898,43
Austria,1963,36.962399,33.873699,29
Austria,1972,53.672001,51.446999,33
Austria,1977,54.606602,57.241199,35
Austria,1971,51.446999,50.647499,33
Austria,2010,71.5215,66.275597,44
Austria,1952,22.0756,23.266399,29
Austria,2008,73.485397,72.6241,43
Austria,1984,55.300201,53.533901,42
Austria,1986,55.455299,56.551701,44
Austria,2005,76.901703,75.839104,42
Austria,2004,75.839104,74.494598,42
Austria,2006,74.888199,76.901703,41
Austria,2001,67.724297,63.543301,42
Austria,1989,54.856899,54.4743,47
Austria,2000,63.543301,63.2416,44
Austria,1970,50.647499,44.653198,33
Austria,1976,57.241199,52.976601,35
Austria,1995,61.2663,58.537201,44
Austria,1968,42.311901,39.933899,31
Austria,2007,72.6241,74.888199,42
Austria,1992,58.1362,63.028801,43
Austria,1996,65.040901,61.2663,43
Austria,1982,53.458801,55.464401,39
Austria,1961,31.8365,30.7959,28
Austria,2012,66.937698,69.885696,49
Austria,1969,44.653198,42.311901,31
Austria,1983,53.533901,53.458801,43
Azerbaijan,1958,18.985001,17.7953,32
Azerbaijan,1950,9.7742004,9.7742004,35
Azerbaijan,1978,47.055599,45.4949,41
Azerbaijan,1982,49.622601,48.6726,44
Azerbaijan,1983,63.579102,49.622601,35
Azerbaijan,1987,68.845901,67.519997,36
Azerbaijan,1954,13.0887,11.9896,34
Azerbaijan,1961,21.380699,20.747,36
Azerbaijan,1962,22.424801,21.380699,35
Azerbaijan,1955,14.8379,13.0887,33
Azerbaijan,1965,27.1199,25.577999,38
Azerbaijan,1964,25.577999,24.0509,36
Azerbaijan,1981,48.6726,49.631901,44
Azerbaijan,1968,30.7684,29.9289,39
Azerbaijan,1973,38.8913,37.353802,39
Azerbaijan,1979,47.7286,47.055599,41
Azerbaijan,1994,50.0769,55.978699,50
Azerbaijan,1960,20.747,19.9459,36
Azerbaijan,1952,11.3364,10.5893,33
Azerbaijan,1966,28.626499,27.1199,38
Azerbaijan,1963,24.0509,22.424801,35
Azerbaijan,1957,17.7953,16.2675,33
Azerbaijan,1976,44.0112,42.397598,38
Azerbaijan,1986,67.519997,69.219398,36
Azerbaijan,1956,16.2675,14.8379,34
Azerbaijan,1953,11.9896,11.3364,34
Azerbaijan,1988,83.915901,68.845901,34
Azerbaijan,1990,59.514599,82.066399,43
Azerbaijan,1989,82.066399,83.915901,35
Azerbaijan,1970,33.7057,32.048401,39
Azerbaijan,1985,69.219398,64.292999,36
Azerbaijan,1967,29.9289,28.626499,38
Azerbaijan,1993,55.978699,47.2136,48
Azerbaijan,1991,69.458199,59.514599,37
Azerbaijan,1969,32.048401,30.7684,40
Azerbaijan,1972,37.353802,35.4631,39
Azerbaijan,1974,40.3531,38.8913,39
Azerbaijan,1977,45.4949,44.0112,40
Azerbaijan,1975,42.397598,40.3531,38
Azerbaijan,1984,64.292999,63.579102,36
Azerbaijan,1971,35.4631,33.7057,39
Azerbaijan,1959,19.9459,18.985001,33
Azerbaijan,1980,49.631901,47.7286,43
Azerbaijan,1951,10.5893,9.7742004,33
Belarus,1951,23.0026,21.227301,25
Belarus,1964,55.736301,52.4086,26
Belarus,1965,59.114101,55.736301,25
Belarus,1967,65.261101,62.415798,25
Belarus,1998,60.574902,63.0243,43
Belarus,1977,99.194603,95.966301,25
Belarus,1970,73.495697,69.878098,26
Belarus,1986,119.8038,119.4041,27
Belarus,1962,48.867298,46.573002,27
Belarus,1979,104.0135,102.5752,26
Belarus,1959,43.404499,41.295502,24
Belarus,1973,84.800903,81.444,26
Belarus,1969,69.878098,67.093597,26
Belarus,1954,28.450199,26.054001,27
Belarus,2012,73.461197,67.941299,47
Belarus,1999,58.967899,60.574902,45
Belarus,1975,92.459602,87.996002,24
Belarus,1960,45.173698,43.404499,27
Belarus,1974,87.996002,84.800903,25
Belarus,1968,67.093597,65.261101,25
Belarus,1991,121.376,126.4786,28
Belarus,2005,63.3409,64.1493,47
Belarus,1972,81.444,77.3283,26
Belarus,2007,65.405296,67.4804,46
Belarus,2006,67.4804,63.3409,45
Belarus,1995,62.315601,71.2901,42
Belarus,1993,84.165298,100.3568,36
Belarus,1990,126.4786,125.0508,27
Belarus,1983,109.6803,108.1201,27
Belarus,1958,41.295502,38.696098,25
Belarus,1971,77.3283,73.495697,26
Belarus,1989,125.0508,127.7344,29
Belarus,2004,64.1493,61.7411,46
Belarus,2003,61.7411,60.0909,48
Belarus,1985,119.4041,110.679,27
Belarus,1981,106.0794,108.1471,28
Belarus,1997,63.0243,63.7328,45
Belarus,1996,63.7328,62.315601,46
Belarus,1994,71.2901,84.165298,40
Belarus,1987,124.937,119.8038,26
Belarus,1980,108.1471,104.0135,28
Belarus,2011,67.941299,66.737,49
Belarus,1982,108.1201,106.0794,28
Belarus,1984,110.679,109.6803,27
Belarus,1963,52.4086,48.867298,26
Belarus,2000,59.389702,58.967899,45
Belarus,1978,102.5752,99.194603,25
Belarus,1961,46.573002,45.173698,27
Belarus,1988,127.7344,124.937,27
Belarus,2002,60.0909,58.567699,48
Belarus,1950,21.227301,21.227301,25
Belarus,2001,58.567699,59.389702,47
Belarus,1992,100.3568,121.376,33
Belarus,1966,62.415798,59.114101,25
Belarus,2010,66.737,63.629101,49
Belarus,1952,24.6297,23.0026,27
Belarus,1957,38.696098,35.3661,25
Belarus,2009,63.629101,65.8731,49
